ID,DATE,MANUFACTURER,S15,EQUIPMENT_FAILURE
100002,8/12/15,R,22.56,0
100002,8/13/15,R,20.16,0
100002,8/14/15,R,23.28,0
100002,8/15/15,R,27.12,0
100002,8/16/15,R,23.28,0
100002,8/17/15,R,19.68,0
100002,8/18/15,R,22.08,0
100002,8/19/15,R,26.64,0
100002,8/20/15,R,18.48,0
100002,8/21/15,R,27.36,0
100002,8/22/15,R,24.48,0
100002,8/23/15,R,29.52,0
100002,8/24/15,R,21.84,0
100002,8/25/15,R,28.8,0
100002,8/26/15,R,20.16,0
100002,8/27/15,R,23.52,0
100002,8/28/15,R,25.68,0
100002,8/29/15,R,23.76,0
100002,8/30/15,R,29.28,0
100002,8/31/15,R,27.12,0
100002,9/1/15,R,25.68,0
100002,9/2/15,R,19.44,0
100002,9/3/15,R,23.2128,0
100002,9/4/15,R,25.68,0
100002,9/5/15,R,20.4,0
100002,9/6/15,R,29.52,0
100002,9/7/15,R,29.04,0
100002,9/8/15,R,18.96,0
100002,9/9/15,R,26.16,0
100002,9/10/15,R,19.2,0
100002,9/11/15,R,23.792772,0
100002,9/12/15,R,26.9184,0
100002,9/13/15,R,27.84,0
100002,9/14/15,R,22.112711,0
100002,9/15/15,R,27.6,0
100002,9/16/15,R,22.32,0
100002,9/17/15,R,24.3936,0
100002,9/18/15,R,20.16,0
100002,9/19/15,R,28.08,0
100002,9/20/15,R,22.8,0
100002,9/21/15,R,30,0
100002,9/22/15,R,18.96,0
100002,9/23/15,R,28.8,0
100002,9/24/15,R,28.32,0
100002,9/25/15,R,22.56,0
100002,9/26/15,R,30,0
100002,9/27/15,R,27.36,0
100002,9/28/15,R,19.44,0
100002,9/29/15,R,27.36,0
100002,9/30/15,R,20.64,0
100002,10/1/15,R,27.36,0
100002,10/2/15,R,28.56,0
100002,10/3/15,R,25.68,0
100002,10/4/15,R,21.12,0
100002,10/5/15,R,18.24,0
100002,10/6/15,R,28.08,0
100002,10/7/15,R,27.36,0
100002,10/8/15,R,23.76,0
100002,10/9/15,R,20.88,0
100002,10/10/15,R,29.28,0
100002,10/11/15,R,28.32,0
100002,10/12/15,R,21.12,0
100002,10/13/15,R,29.28,0
100002,10/14/15,R,27.12,0
100002,10/15/15,R,24.96,0
100002,10/16/15,R,21.6,0
100002,10/17/15,R,25.92,0
100002,10/18/15,R,27.84,0
100002,10/19/15,R,19.92,0
100002,10/20/15,R,23.04,0
100002,10/21/15,R,25.44,0
100002,10/22/15,R,21.12,0
100002,10/23/15,R,18.24,0
100002,10/24/15,R,20.64,0
100002,10/25/15,R,29.04,0
100002,10/26/15,R,22.8,0
100002,10/27/15,R,0,1
100002,10/28/15,R,18.1656,0
100002,10/29/15,R,23.28,0
100002,10/30/15,R,14.76,0
100002,10/31/15,R,20.4,0
100002,11/1/15,R,22.32,0
100002,11/2/15,R,24.72,0
100002,11/3/15,R,28.56,0
100002,11/4/15,R,18.96,0
100002,11/5/15,R,19.44,0
100002,11/6/15,R,19.2,0
100002,11/7/15,R,29.76,0
100002,11/8/15,R,19.68,0
100002,11/9/15,R,28.08,0
100002,11/10/15,R,23.76,0
100002,11/11/15,R,22.8,0
100002,11/12/15,R,22.08,0
100002,11/13/15,R,20.64,0
100002,11/14/15,R,18.48,0
100002,11/15/15,R,19.68,0
100002,11/16/15,R,22.08,0
100002,11/17/15,R,24.2352,0
100002,11/18/15,R,29.76,0
100002,11/19/15,R,27.6,0
100002,11/20/15,R,20.16,0
100002,11/21/15,R,20.64,0
100002,11/22/15,R,26.4,0
